instruction,input_context,output,task_type,difficulty,safety_constraints
미끄러운 fabric 병을 상자에 가져다놓아라,"객체: 미끄러운 fabric 병, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""fabric"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 3.036444408446131, ""fragility"": 0.4140528862657549}, ""confidence"": 0.7452787039913393}",move,medium,
미끄러운 rubber 상자을 의자에 두어라,"객체: 미끄러운 rubber 상자, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.63, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""rubber"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 71.4484106029317, ""fragility"": 0.9380061769602804}, ""confidence"": 0.935416031525463}",place,hard,fragile_handling|gentle_grip|precise_positioning
미끄러운 wood 책을 상자에 올려놓아라,"객체: 미끄러운 wood 책, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 6.270323905754221, ""fragility"": 0.16305166337863272}, ""confidence"": 0.8362209824818194}",place,medium,precise_positioning
미끄러운 metal 책을 침대에 옮겨라,"객체: 미끄러운 metal 책, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 3.036444408446131, ""fragility"": 0.4140528862657549}, ""confidence"": 0.9091688014459229}",move,medium,
거친 wood 컵을 테이블에 운반해라,"객체: 거친 wood 컵, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.45, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""medium"", ""friction"": ""high"", ""stiffness"": 264.0150066573494, ""fragility"": 0.07361582965399906}, ""confidence"": 0.7855825729304499}",move,easy,
무거운 glass 블록을 테이블에 올려놓아라,"객체: 무거운 glass 블록, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.73, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""heavy"", ""friction"": 0.21337030339730478, ""stiffness"": 66.95854460229474, ""fragility"": 0.7487896860639109}, ""confidence"": 0.7791975165230629}",place,hard,fragile_handling|gentle_grip|secure_grip|slow_movement|precise_positioning
미끄러운 ceramic 공을 테이블에 이동시켜라,"객체: 미끄러운 ceramic 공, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.63, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 83.22492524470026, ""fragility"": 1.0}, ""confidence"": 0.8488850101755503}",move,medium,fragile_handling|gentle_grip
부드러운 rubber 병을 테이블에 배치해라,"객체: 부드러운 rubber 병, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.24, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""rubber"", ""mass"": ""medium"", ""friction"": 0.3440596256975097, ""stiffness"": ""soft"", ""fragility"": 0.4243435264775188}, ""confidence"": 0.7548815691413064}",place,medium,precise_positioning
무거운 glass 블록을 선반에 밀어내라,"객체: 무거운 glass 블록, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.75, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""heavy"", ""friction"": 0.566675179414612, ""stiffness"": 228.2427875068409, ""fragility"": 0.1406414772439137}, ""confidence"": 0.7362840533809032}",push,medium,
큰 glass 인형을 침대에 가져다놓아라,"객체: 큰 glass 인형, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""medium"", ""friction"": 0.6975739814632087, ""stiffness"": 0.00922883666667986, ""fragility"": 0.05163622845398025}, ""confidence"": 0.7522905566514966}",move,easy,
미끄러운 ceramic 블록을 상자에 배치해라,"객체: 미끄러운 ceramic 블록, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 10.55955995144916, ""fragility"": 0.14823769377556842}, ""confidence"": 0.7814419953148792}",place,medium,precise_positioning
큰 wood 공을 테이블에 두어라,"객체: 큰 wood 공, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""medium"", ""friction"": 0.7321743848991439, ""stiffness"": 0.1286291828273067, ""fragility"": 0.07311327028568845}, ""confidence"": 0.9210108662391356}",place,medium,precise_positioning
무거운 wood 블록을 상자에 당겨라,"객체: 무거운 wood 블록, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.75, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""wood"", ""mass"": ""heavy"", ""friction"": 0.41668255868583143, ""stiffness"": 14.758803235079721, ""fragility"": 0.23764261564055733}, ""confidence"": 0.7971729435925949}",pull,medium,
미끄러운 rubber 컵을 상자에 가져와라,"객체: 미끄러운 rubber 컵, 목적지: 상자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""rubber"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 0.11973332812231308, ""fragility"": 0.0789949432785731}, ""confidence"": 0.9265037397440496}",pull,medium,
가벼운 ceramic 인형을 선반에 끌어라,"객체: 가벼운 ceramic 인형, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.35, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""light"", ""friction"": 0.33312384735764944, ""stiffness"": 4.405170240840229, ""fragility"": 0.18345659360744465}, ""confidence"": 0.8315823681778365}",pull,medium,
무거운 metal 펜을 바구니에 가져가라,"객체: 무거운 metal 펜, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.73, ""lift_speed"": 0.3, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""heavy"", ""friction"": 0.18198138578895406, ""stiffness"": 89.99005038801585, ""fragility"": 0.880058500649762}, ""confidence"": 0.8545242174227852}",pick,hard,fragile_handling|gentle_grip|secure_grip|slow_movement
미끄러운 glass 펜을 의자에 밀어라,"객체: 미끄러운 glass 펜, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 0.06458740734072647, ""fragility"": 0.06497487284297923}, ""confidence"": 0.9232327346890313}",push,medium,
무거운 metal 책을 침대에 밀어라,"객체: 무거운 metal 책, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.75, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""heavy"", ""friction"": 0.566675179414612, ""stiffness"": 228.2427875068409, ""fragility"": 0.1406414772439137}, ""confidence"": 0.7323234984465244}",push,medium,
미끄러운 metal 책을 침대에 당겨라,"객체: 미끄러운 metal 책, 목적지: 침대, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 0.14088771576141174, ""fragility"": 0.06974272487299253}, ""confidence"": 0.9020733487919785}",pull,medium,
미끄러운 glass 병을 바구니에 배치해라,"객체: 미끄러운 glass 병, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.9, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""medium"", ""friction"": ""low"", ""stiffness"": 244.33191256592517, ""fragility"": 0.14904954215801988}, ""confidence"": 0.7899004443129873}",place,medium,precise_positioning
무거운 glass 접시을 테이블에 잡아라,"객체: 무거운 glass 접시, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.75, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""glass"", ""mass"": ""heavy"", ""friction"": 0.6975739814632087, ""stiffness"": 0.00922883666667986, ""fragility"": 0.05163622845398025}, ""confidence"": 0.8649647318787259}",pick,easy,
깨지기쉬운 rubber 블록을 바구니에 운반해라,"객체: 깨지기쉬운 rubber 블록, 목적지: 바구니, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""rubber"", ""mass"": ""medium"", ""friction"": 0.40233976528956916, ""stiffness"": 3.036444408446131, ""fragility"": ""fragile""}, ""confidence"": 0.796123361075119}",move,easy,
큰 metal 공을 의자에 가져와라,"객체: 큰 metal 공, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.6308646510339587, ""stiffness"": 0.11803945923093706, ""fragility"": 0.1268771715937986}, ""confidence"": 0.8138587995989657}",pull,medium,
깨지기쉬운 ceramic 접시을 의자에 당겨라,"객체: 깨지기쉬운 ceramic 접시, 목적지: 의자, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 1.0}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""medium"", ""friction"": 0.8320465208148218, ""stiffness"": 0.00923213526203572, ""fragility"": ""fragile""}, ""confidence"": 0.8703003049059553}",pull,medium,
무거운 ceramic 블록을 테이블에 옮겨라,"객체: 무거운 ceramic 블록, 목적지: 테이블, 환경: 실내","{""control_parameters"": {""grip_force"": 0.75, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""ceramic"", ""mass"": ""heavy"", ""friction"": 0.5767086244956243, ""stiffness"": 15.244152947242119, ""fragility"": 0.222609010173347}, ""confidence"": 0.880024552647479}",move,easy,
작은 metal 블록을 선반에 두어라,"객체: 작은 metal 블록, 목적지: 선반, 환경: 실내","{""control_parameters"": {""grip_force"": 0.5, ""lift_speed"": 0.5, ""approach_angle"": 0.1, ""contact_force"": 0.3, ""safety_margin"": 0.8}, ""physical_properties"": {""material"": ""metal"", ""mass"": ""medium"", ""friction"": 0.8320465208148218, ""stiffness"": 0.00923213526203572, ""fragility"": 0.03920394366126141}, ""confidence"": 0.7057008099015294}",place,medium,precise_positioning
